Gender,Age,Married,Number of Dependents,City,Zip Code,Tenure in Months,Offer,Phone Service,Internet Service,Total Charges,Total Revenue,Customer Status
Female,36,Yes,1,Los Angeles,90062,4,None,Yes,Yes,239.55,291.07,Churned
Male,55,Yes,2,Hayward,94544,62,Offer B,Yes,No,1218.45,1909.75,Stayed
Female,29,No,0,Riverdale,93656,39,Offer C,Yes,Yes,3692.85,3867.57,Churned
Male,27,Yes,2,Trinidad,95570,1,None,Yes,No,20.4,47.9,Joined
Female,56,Yes,0,West Covina,91791,51,Offer B,Yes,Yes,3145.15,5551.33,Stayed
Male,20,No,0,Escondido,92027,58,Offer B,Yes,Yes,6017.65,8598.65,Churned
Male,44,No,2,La Mesa,91942,38,None,Yes,Yes,3141.7,3189.96,Stayed
Male,29,No,0,Poway,92064,33,None,Yes,Yes,2603.3,3451.73,Stayed
Male,20,No,0,Torrance,90501,20,Offer D,Yes,No,415.4,1035.8,Stayed
Female,58,Yes,0,Castella,96017,31,Offer C,Yes,Yes,2471.6,3355.72,Stayed
Female,57,Yes,0,The Sea Ranch,95497,20,None,Yes,Yes,2239.65,2815.45,Churned
Male,47,Yes,2,San Jose,95112,64,None,Yes,Yes,5135.35,8302.71,Stayed
Male,34,Yes,0,Big Bear Lake,92315,72,Offer A,Yes,Yes,5810.9,9054.5,Stayed
Male,22,Yes,3,Covelo,95428,9,Offer E,Yes,Yes,767.9,1042.04,Stayed
Male,24,No,0,Sun Valley,91352,61,Offer B,Yes,Yes,6363.45,9150.54,Stayed
Male,63,No,0,Salinas,93905,52,None,Yes,Yes,4461.85,6126.89,Stayed
Female,29,Yes,2,Live Oak,95953,69,None,No,Yes,3121.4,3121.4,Stayed
Female,33,No,0,Burbank,91504,1,Offer E,Yes,Yes,79.15,157.15,Joined
Male,45,Yes,1,Cypress,90630,68,None,Yes,Yes,4953.25,7274.09,Stayed
Male,48,Yes,0,Tahoe City,96145,14,None,Yes,Yes,979.5,1289.46,Stayed
Male,28,No,0,San Diego,92106,7,Offer E,No,Yes,249.55,249.55,Stayed
Female,75,No,0,Campo,91906,2,None,Yes,Yes,115.95,135.05,Churned
Female,53,No,0,Birds Landing,94512,1,None,Yes,Yes,70.1,71.25,Joined
Male,46,Yes,2,San Jose,95138,51,None,Yes,No,1222.25,2081.6,Stayed
Female,68,Yes,0,Hickman,95323,4,None,Yes,Yes,347.65,397.5,Churned
Male,19,Yes,3,San Francisco,94115,15,None,Yes,No,278.85,975.9,Stayed
Female,21,Yes,0,Temecula,92592,72,Offer A,Yes,Yes,7789.6,8642.8,Stayed
Male,27,Yes,0,San Carlos,94070,50,Offer B,Yes,Yes,4914.9,5793.9,Stayed
Female,77,Yes,0,Granada Hills,91344,57,None,Yes,Yes,5438.95,6752.8,Stayed
Female,46,Yes,0,Ventura,93004,44,Offer B,Yes,Yes,4060.55,5500.23,Stayed
Female,42,Yes,3,Roseville,95661,62,Offer B,Yes,Yes,6840.95,7662.45,Stayed
Female,75,No,0,Inglewood,90304,14,None,Yes,Yes,1096.25,1587.23,Churned
Female,44,No,0,Rancho Cucamonga,91739,7,Offer E,Yes,Yes,571.05,594.43,Stayed
Female,48,Yes,0,Milford,96121,72,None,Yes,Yes,7751.7,10612.98,Stayed
Male,39,No,0,Culver City,90232,1,None,Yes,Yes,49.05,74.82,Joined
Male,78,Yes,0,Earp,92242,72,Offer A,No,Yes,4685.55,4685.55,Stayed
Female,38,No,0,Sun City,92587,1,Offer E,Yes,Yes,45.4,94.73,Joined
Female,63,No,0,San Diego,92129,3,Offer E,Yes,Yes,270.7,350.26,Churned
Female,46,No,0,El Centro,92243,32,None,Yes,No,624.15,2025.75,Stayed
Female,70,Yes,0,Camptonville,95922,71,None,Yes,Yes,7213.75,8775.75,Stayed
Male,69,Yes,0,La Grange,95329,60,Offer B,Yes,Yes,6017.9,6791.9,Stayed
Female,65,No,0,Brookdale,95007,4,None,Yes,Yes,179.85,304.37,Stayed
Male,27,Yes,0,Cazadero,95421,52,None,Yes,Yes,5088.4,5541.48,Stayed
Female,42,No,0,Monterey Park,91754,29,None,Yes,Yes,1734.5,2153.84,Stayed
Male,23,Yes,0,Clipper Mills,95930,49,Offer B,Yes,Yes,4920.8,6583.37,Stayed
Male,19,Yes,2,Temple City,91780,40,None,No,Yes,2448.5,2448.5,Stayed
Female,39,Yes,0,Piercy,95587,57,Offer B,Yes,Yes,5985.0,6197.04,Stayed
Female,25,Yes,3,Patterson,95363,62,None,Yes,Yes,4300.45,6565.93,Stayed
Male,51,Yes,0,Chula Vista,91910,23,Offer D,Yes,Yes,1940.8,2413.29,Stayed
Female,25,Yes,0,San Francisco,94118,65,Offer B,Yes,Yes,4386.2,4470.05,Stayed
Female,33,No,0,Needles,92363,38,Offer C,Yes,No,741.5,2323.44,Stayed
Female,76,Yes,0,Hat Creek,96040,48,None,Yes,Yes,5438.9,7504.82,Churned
Male,62,Yes,0,Ventura,93001,72,Offer A,Yes,Yes,5784.3,7369.02,Stayed
Female,27,Yes,0,Los Angeles,90015,2,Offer E,Yes,No,52.0,124.1,Joined
Male,31,Yes,0,Klamath River,96050,28,None,Yes,Yes,2065.4,2678.88,Stayed
Male,67,No,0,La Mirada,90638,65,None,Yes,Yes,7108.2,7359.53,Stayed
Female,58,No,0,Armona,93202,2,None,Yes,No,61.05,74.35,Joined
Male,42,No,0,Smith River,95567,10,None,No,Yes,298.45,298.45,Churned
Female,41,Yes,0,San Joaquin,93660,16,None,Yes,Yes,1430.25,1937.93,Churned
Female,28,Yes,3,Oceanside,92056,72,Offer A,No,Yes,3880.05,3880.05,Stayed
Female,54,Yes,0,Fresno,93726,12,None,No,Yes,444.75,444.75,Stayed
Female,33,Yes,1,Richgrove,93261,1,None,Yes,No,19.9,27.39,Churned
Female,46,No,0,Baker,92309,26,None,No,Yes,1183.8,1183.8,Stayed
Female,38,No,0,Three Rivers,93271,20,None,Yes,No,403.15,1177.95,Stayed
Female,51,No,0,Grenada,96038,7,None,Yes,No,144.95,196.19,Stayed
Female,55,Yes,0,San Diego,92122,38,Offer C,Yes,Yes,3058.65,4659.97,Churned
Male,70,Yes,0,El Portal,95318,23,Offer D,Yes,Yes,2024.1,2749.29,Stayed
Male,51,Yes,0,Milpitas,95035,67,None,Yes,Yes,7321.05,10462.68,Stayed
Female,63,No,0,Porterville,93257,48,Offer B,Yes,No,1203.95,2308.39,Stayed
Male,37,No,0,Oakland,94609,64,None,Yes,Yes,6692.65,9625.13,Stayed
Female,20,No,0,Novato,94949,3,None,Yes,Yes,233.65,263.95,Joined
Female,44,No,0,Littlerock,93543,32,None,Yes,Yes,3416.85,3871.57,Stayed
Female,46,Yes,0,Irvine,92602,57,Offer B,Yes,Yes,3913.3,6002.35,Churned
Male,36,Yes,3,Gualala,95445,51,None,Yes,Yes,4299.75,4744.57,Stayed
Male,35,No,0,Sherman Oaks,91403,16,Offer D,Yes,No,342.4,434.24,Churned
Female,44,No,0,Garden Grove,92845,48,Offer B,Yes,No,1171.5,2833.2,Stayed
Male,64,No,0,Fresno,93721,18,None,Yes,No,388.6,861.28,Stayed
Male,36,No,3,Camino,95709,23,None,No,Yes,857.75,857.75,Stayed
Female,38,No,0,San Carlos,94070,55,Offer B,Yes,Yes,2832.75,3031.85,Stayed
Female,39,No,0,Eagleville,96110,2,None,Yes,No,41.2,66.56,Joined
Male,54,Yes,0,Buttonwillow,93206,9,None,Yes,Yes,890.6,1047.83,Churned
Male,42,No,0,Beverly Hills,90211,27,Offer C,Yes,No,531.6,1605.39,Stayed
Female,54,No,0,Fairfax,94930,35,None,No,Yes,812.5,852.5,Stayed
Female,52,Yes,2,Arbuckle,95912,58,None,Yes,No,1191.4,2654.36,Stayed
Male,52,Yes,0,Penryn,95663,42,None,Yes,Yes,4014.6,5743.32,Stayed
Female,60,Yes,0,Los Alamitos,90720,44,Offer B,Yes,Yes,2722.2,4846.48,Stayed
Female,30,Yes,1,Gilroy,95020,43,None,Yes,Yes,3254.35,4543.49,Stayed
Female,20,Yes,0,Tulelake,96134,7,Offer E,Yes,No,134.05,425.53,Stayed
Female,79,No,0,Atherton,94027,28,None,Yes,Yes,2890.65,3678.57,Churned
Female,25,Yes,3,Lookout,96054,41,None,Yes,Yes,3848.0,5618.79,Stayed
Male,52,No,0,Running Springs,92382,24,Offer C,Yes,Yes,1861.5,3044.7,Churned
Female,35,Yes,0,Los Angeles,90058,39,None,Yes,Yes,4134.85,4505.74,Churned
Male,48,Yes,0,Sutter,95982,65,None,Yes,Yes,6812.95,9490.95,Stayed
Male,55,No,0,Rancho Cucamonga,91737,40,None,No,Yes,1382.9,1512.9,Stayed
Female,45,Yes,0,Herlong,96113,46,None,Yes,Yes,3231.05,5289.55,Stayed
Male,22,No,0,San Diego,92126,36,Offer C,Yes,Yes,3050.15,4633.07,Churned
Male,49,No,0,Bonita,91902,62,Offer B,Yes,Yes,4981.15,8001.79,Stayed
Male,47,No,0,San Diego,92123,30,None,Yes,Yes,2044.75,3017.05,Stayed
Female,28,No,0,Sylmar,91342,70,Offer A,Yes,Yes,7939.25,9151.65,Stayed
Male,36,No,0,Long Beach,90806,1,None,Yes,No,19.9,27.66,Joined
Male,43,No,0,Meadow Vista,95722,5,Offer E,Yes,Yes,541.9,736.35,Churned
Male,54,Yes,0,Bakersfield,93307,24,None,Yes,Yes,2248.05,3413.89,Stayed
Male,46,No,0,Cupertino,95014,11,Offer D,Yes,No,208.0,522.82,Stayed
Male,54,No,0,Escondido,92025,58,Offer B,Yes,Yes,5720.95,7615.81,Stayed
Male,45,No,0,Lakewood,90712,2,Offer E,Yes,Yes,81.25,174.93,Churned
Male,40,No,0,Rancho Cordova,95670,8,Offer E,Yes,Yes,546.45,752.21,Stayed
Male,78,No,0,Newman,95360,35,None,Yes,Yes,3180.5,4137.15,Stayed
Male,76,Yes,0,Woodland,95695,65,Offer B,Yes,Yes,6578.55,7136.9,Stayed
Female,61,Yes,1,Weed,96094,68,None,Yes,Yes,5607.75,6164.79,Stayed
Male,61,No,0,San Diego,92126,6,Offer E,Yes,Yes,523.5,759.42,Churned
Male,31,No,0,Oceanside,92056,46,None,Yes,Yes,4422.95,5416.85,Stayed
Female,63,Yes,0,La Palma,90623,72,None,Yes,Yes,8349.7,11272.18,Stayed
Female,41,No,0,Escondido,92027,62,Offer B,Yes,Yes,6413.65,8433.61,Churned
Female,65,No,0,Caruthers,93609,38,None,Yes,No,735.9,891.32,Stayed
Male,22,No,0,Weimar,95736,1,None,Yes,Yes,53.5,68.08,Churned
Female,20,No,0,Yucaipa,92399,58,None,Yes,Yes,5817.7,7879.6,Stayed
Male,46,No,0,Weaverville,96093,17,None,Yes,No,279.5,816.7,Stayed
Female,74,Yes,0,Manchester,95459,72,Offer A,Yes,Yes,8317.95,10385.79,Stayed
Male,25,Yes,0,Corcoran,93212,50,Offer B,Yes,Yes,3442.15,4158.15,Stayed
Male,40,No,1,Big Bear City,92314,4,Offer E,Yes,Yes,219.65,323.81,Churned
Female,40,No,0,Brea,92821,3,Offer E,Yes,No,61.7,107.81,Joined
Male,67,Yes,0,San Rafael,94901,8,None,Yes,Yes,583.45,799.37,Churned
Female,77,Yes,0,Dinuba,93618,13,None,Yes,Yes,916.75,1498.93,Churned
Male,57,Yes,3,Grenada,96038,55,Offer B,Yes,No,1177.95,3423.82,Stayed
Female,30,Yes,0,Lucerne,95458,71,None,Yes,Yes,6310.9,7896.33,Stayed
Female,48,No,0,Los Angeles,90012,37,None,Yes,Yes,3019.1,3374.67,Stayed
Male,66,Yes,0,Santa Ana,92705,41,Offer B,Yes,Yes,4534.9,6381.54,Churned
Female,37,Yes,3,Anaheim,92804,55,None,Yes,Yes,4657.95,5119.4,Stayed
Female,25,Yes,1,Oceanside,92057,61,Offer B,No,Yes,3088.75,3108.75,Stayed
Male,41,Yes,3,Chino Hills,91709,44,None,Yes,Yes,2924.05,4581.97,Stayed
Male,43,Yes,0,Gualala,95445,59,Offer B,Yes,Yes,6448.05,7787.94,Churned
Female,67,No,0,San Jose,95110,10,Offer D,No,Yes,329.8,329.8,Churned
Male,42,No,2,Woodland,95776,2,None,Yes,No,42.9,141.96,Joined
Female,58,Yes,1,Topanga,90290,56,Offer B,Yes,No,1119.9,3839.26,Stayed
Male,29,Yes,0,Salinas,93906,72,Offer A,Yes,Yes,7719.5,8488.46,Stayed
Male,79,No,0,Redondo Beach,90278,1,None,Yes,Yes,74.7,102.35,Joined
Male,74,Yes,0,San Francisco,94109,44,None,Yes,No,847.25,930.41,Stayed
Male,24,No,0,Mountain View,94040,10,Offer D,Yes,No,208.25,411.15,Stayed
Male,52,No,0,Redding,96003,72,Offer A,Yes,No,1434.1,1681.06,Stayed
Male,32,No,0,Tecate,91980,66,Offer A,Yes,Yes,3465.7,4228.66,Stayed
Male,44,Yes,0,Santa Fe Springs,90670,24,None,Yes,Yes,2391.8,3222.68,Churned
Male,43,No,0,Sebastopol,95472,18,None,Yes,Yes,1633.0,2259.04,Stayed
Male,62,No,0,Dublin,94568,22,Offer D,Yes,Yes,1127.35,1287.51,Churned
Female,45,Yes,0,California City,93505,64,Offer B,Yes,Yes,5948.7,6029.98,Stayed
Female,53,Yes,1,Yreka,96097,22,None,No,Yes,849.9,899.9,Stayed
Male,79,Yes,0,Milford,96121,38,Offer C,Yes,Yes,4009.2,4143.89,Stayed
Male,31,No,0,Saratoga,95070,5,None,Yes,No,109.8,148.95,Stayed
Female,79,No,0,Lakewood,90712,6,None,Yes,Yes,560.6,844.7,Churned
Male,32,No,0,Santa Clarita,91350,1,Offer E,Yes,Yes,70.3,75.97,Churned
Male,19,Yes,0,Stockton,95207,18,None,Yes,Yes,1074.65,1097.69,Stayed
Female,33,No,0,Mammoth Lakes,93546,11,Offer D,Yes,Yes,651.55,733.17,Stayed
Male,79,No,0,Vista,92084,67,Offer A,Yes,Yes,4250.1,6185.06,Stayed
Male,76,No,0,Mi Wuk Village,95346,67,None,Yes,Yes,6841.05,9444.0,Stayed
Female,70,Yes,0,Inglewood,90303,72,None,Yes,No,1937.4,2547.96,Stayed
Female,19,No,0,Elk Creek,95939,47,None,Yes,Yes,3545.1,5802.51,Stayed
Female,68,No,0,Likely,96116,54,Offer B,Yes,Yes,3886.05,6339.27,Stayed
Female,67,Yes,0,Catheys Valley,95306,12,Offer D,Yes,Yes,1060.2,1378.7,Churned
Female,30,No,0,Redlands,92373,31,Offer C,Yes,Yes,2613.4,3363.91,Stayed
Female,19,No,0,Mc Farland,93250,11,Offer D,Yes,Yes,733.95,1274.51,Stayed
Female,72,No,0,Exeter,93221,40,None,No,Yes,2109.35,2189.35,Churned
Male,65,Yes,1,Stockton,95206,11,None,Yes,Yes,775.3,1090.34,Stayed
Male,33,No,0,Miranda,95553,5,None,Yes,Yes,452.7,468.95,Churned
Male,31,No,0,Salinas,93906,1,Offer E,Yes,No,19.75,29.97,Joined
Female,50,Yes,3,North Fork,93643,20,None,Yes,No,395.6,541.8,Stayed
Male,58,Yes,3,Bodega,94922,8,Offer E,Yes,No,169.75,379.11,Stayed
Male,37,No,0,Biggs,95917,1,None,Yes,Yes,74.3,113.85,Joined
Female,72,No,0,Somis,93066,72,Offer A,Yes,Yes,7943.45,11169.77,Stayed
Male,39,Yes,2,Canoga Park,91304,6,None,Yes,Yes,531.0,783.48,Churned
Male,76,Yes,0,Redding,96002,40,None,Yes,Yes,4086.3,4200.3,Churned
Female,20,Yes,0,Sunset Beach,90742,23,Offer D,Yes,Yes,1642.75,1976.94,Stayed
Male,36,No,0,Murrieta,92562,30,Offer C,Yes,Yes,2852.4,2938.5,Stayed
Female,24,No,0,Clovis,93611,29,None,Yes,Yes,2215.25,2418.54,Stayed
Male,21,Yes,0,Glenn,95943,59,Offer B,No,Yes,2666.75,2686.75,Stayed
Male,74,Yes,0,Murphys,95247,41,Offer B,Yes,Yes,3273.55,5152.99,Churned
Female,66,Yes,0,Roseville,95747,58,Offer B,Yes,Yes,5458.8,8090.26,Stayed
Female,64,Yes,0,Woody,93287,1,None,Yes,No,20.65,55.89,Joined
Male,40,Yes,2,Woodland Hills,91364,4,Offer E,Yes,Yes,169.65,273.25,Stayed
Female,62,No,1,San Bernardino,92405,61,Offer B,Yes,No,1498.35,3453.4,Stayed
Male,41,No,0,Anaheim,92804,10,None,Yes,Yes,740.0,1012.8,Churned
Female,22,No,0,Orinda,94563,39,None,Yes,Yes,1886.4,2944.27,Stayed
Female,45,Yes,0,San Dimas,91773,31,None,Yes,No,658.95,1591.12,Churned
Female,36,Yes,0,Northridge,91325,2,Offer E,No,Yes,68.75,78.75,Churned
Male,47,Yes,0,Sacramento,95830,31,None,Yes,Yes,2484.0,2580.72,Stayed
Male,44,No,0,San Juan Bautista,95045,4,Offer E,No,Yes,174.3,184.3,Churned
Female,26,No,0,La Mesa,91942,33,None,Yes,Yes,2989.6,3542.68,Stayed
Female,52,No,1,La Quinta,92253,4,None,Yes,No,84.75,213.35,Stayed
Female,26,Yes,1,San Diego,92113,32,None,Yes,Yes,2316.85,2936.51,Stayed
Female,69,Yes,0,Benton,93512,72,Offer A,Yes,Yes,7882.25,9023.45,Stayed
Male,51,No,0,San Clemente,92673,11,None,Yes,Yes,760.05,771.16,Stayed
Male,66,Yes,0,Thousand Oaks,91360,23,None,Yes,Yes,1975.85,2955.42,Stayed
Female,20,No,0,Ventura,93003,6,Offer E,Yes,Yes,567.45,689.01,Churned
Female,76,Yes,0,Riverside,92509,1,None,Yes,Yes,69.55,82.01,Churned
Male,24,No,0,La Mirada,90638,15,None,Yes,Yes,1451.1,1600.65,Stayed
Male,62,Yes,0,Torrance,90505,72,None,Yes,No,1864.2,4747.08,Stayed
Female,38,Yes,3,Temple City,91780,35,None,Yes,No,821.6,1481.7,Stayed
Male,46,Yes,0,Torrance,90502,50,Offer B,Yes,Yes,2614.1,3130.6,Stayed
Male,60,No,0,Dana Point,92629,1,Offer E,Yes,Yes,79.5,128.47,Churned
Female,77,No,0,Culver City,90230,2,None,Yes,Yes,158.4,205.32,Churned
Female,20,Yes,2,San Juan Bautista,95045,41,None,Yes,Yes,3126.45,4450.34,Stayed
Male,74,No,0,Desert Hot Springs,92241,33,Offer C,No,Yes,1803.7,1803.7,Stayed
Male,30,No,0,Tehachapi,93561,38,Offer C,Yes,Yes,3777.15,4965.41,Churned
Male,80,Yes,0,Artesia,90701,60,None,Yes,Yes,6339.45,7675.22,Stayed
Male,34,Yes,1,Blocksburg,95514,25,None,Yes,Yes,1466.1,2643.6,Stayed
Female,23,Yes,3,Ben Lomond,95005,10,Offer E,Yes,No,200.0,400.5,Stayed
Male,26,Yes,0,Santa Maria,93458,70,Offer A,Yes,Yes,7085.5,9959.0,Stayed
Male,36,Yes,0,Death Valley,92328,60,None,Yes,Yes,6572.85,6848.25,Stayed
Female,74,Yes,0,Los Olivos,93441,34,None,Yes,Yes,2106.3,2525.52,Stayed
Female,26,Yes,0,Blythe,92225,27,Offer C,Yes,Yes,2093.4,3134.35,Stayed
Female,60,No,0,Santa Margarita,93453,60,Offer B,Yes,No,1093.0,3917.2,Stayed
Male,66,Yes,0,Santa Ana,92706,17,None,Yes,Yes,1233.4,1251.25,Churned
Female,55,Yes,0,Rio Dell,95562,71,Offer A,Yes,Yes,6585.35,9462.27,Churned
Male,38,Yes,1,Irvine,92602,56,Offer B,Yes,Yes,5873.75,8234.71,Stayed
Male,46,Yes,0,March Air Reserve Base,92518,61,Offer B,Yes,Yes,5638.3,7281.64,Churned
Male,59,Yes,2,Oak Run,96069,15,None,No,Yes,469.65,469.65,Stayed
Female,21,Yes,0,San Diego,92108,70,Offer A,No,Yes,4504.9,4458.84,Stayed
Female,29,No,1,Cathedral City,92234,1,Offer E,No,Yes,24.7,94.7,Joined
Male,29,Yes,3,Lemon Cove,93244,42,None,Yes,Yes,2763.35,4651.25,Stayed
Female,58,No,0,Palo Alto,94303,1,None,Yes,No,19.95,58.79,Joined
Female,70,No,0,Los Angeles,90045,2,Offer E,Yes,Yes,186.05,229.85,Joined
Male,19,Yes,0,Suisun City,94585,72,Offer A,Yes,No,1492.1,3055.94,Stayed
Male,28,Yes,0,San Diego,92119,52,None,Yes,Yes,3865.45,4406.25,Stayed
Female,33,Yes,2,Woodland Hills,91364,57,None,Yes,Yes,3053.0,4022.57,Stayed
Male,48,No,0,Calexico,92231,7,Offer E,Yes,No,128.6,342.66,Stayed
Male,51,No,0,Glendale,91204,47,Offer B,Yes,Yes,4535.85,6424.26,Stayed
Female,22,No,0,Huntington Beach,92649,65,None,Yes,Yes,6744.25,8488.2,Stayed
Female,26,Yes,2,Pomona,91766,72,None,Yes,No,1623.15,2929.23,Stayed
Male,45,No,0,March Air Reserve Base,92518,68,None,Yes,No,1498.85,4068.57,Stayed
Male,21,No,0,Bakersfield,93306,1,None,Yes,No,24.05,44.31,Churned
Male,43,No,0,Dixon,95620,4,None,Yes,Yes,237.95,290.03,Churned
Female,26,Yes,0,Escondido,92027,37,None,Yes,Yes,3762.0,5104.73,Churned
Female,30,No,0,Landers,92285,72,None,Yes,No,1419.4,3039.53,Stayed
Male,65,Yes,0,San Miguel,93451,48,None,Yes,Yes,4370.75,5579.87,Stayed
Female,25,Yes,0,Graton,95444,7,Offer E,Yes,Yes,506.9,569.55,Churned
Female,30,No,0,Mckinleyville,95519,1,None,Yes,No,19.55,27.78,Joined
Male,61,Yes,0,Lamont,93241,35,None,Yes,Yes,2661.1,3129.75,Stayed
Male,30,No,0,Bayside,95524,44,Offer B,Yes,Yes,4378.35,6532.15,Stayed
Female,23,Yes,0,San Ysidro,92173,37,None,No,Yes,1593.1,1548.97,Stayed
Female,55,Yes,2,San Jose,95123,65,Offer B,Yes,Yes,3874.1,5125.35,Stayed
Female,57,Yes,0,Kings Beach,96143,59,None,Yes,Yes,3801.3,4656.21,Stayed
Female,34,No,0,Vallejo,94592,22,None,No,Yes,1073.3,1073.3,Stayed
Male,61,No,1,Escondido,92027,1,None,Yes,Yes,70.45,90.55,Joined
Male,45,Yes,0,Hawaiian Gardens,90716,54,Offer B,No,Yes,1621.35,1621.35,Stayed
Male,48,No,0,San Diego,92116,44,Offer B,Yes,Yes,4915.15,6870.95,Stayed
Female,52,Yes,1,Downey,90240,6,Offer E,Yes,No,100.35,250.65,Stayed
Female,63,No,0,Cedar Glen,92321,50,Offer B,Yes,No,989.05,2886.55,Stayed
Male,44,No,0,Brea,92823,13,Offer D,Yes,No,259.65,809.76,Stayed
Male,36,No,0,San Anselmo,94960,3,None,No,Yes,66.95,66.95,Churned
Female,47,No,0,North Highlands,95660,1,None,Yes,No,20.35,64.44,Joined
Male,48,No,1,Tecate,91980,27,Offer C,Yes,No,509.3,1380.86,Stayed
Male,36,Yes,3,Compton,90220,71,None,Yes,Yes,7782.85,9874.22,Stayed
Male,57,Yes,0,Meridian,95957,14,Offer D,Yes,Yes,641.25,1270.55,Stayed
Male,20,No,0,Meridian,95957,31,Offer C,Yes,Yes,3143.65,3744.43,Stayed
Female,32,Yes,0,Encino,91316,20,Offer D,Yes,Yes,1901.65,2473.05,Stayed
Female,54,No,0,Pope Valley,94567,12,Offer D,Yes,Yes,540.95,619.67,Stayed
Male,62,No,3,Little River,95456,40,None,No,Yes,1564.05,1564.05,Stayed
Male,47,No,0,Lakewood,90713,6,Offer E,No,Yes,208.7,208.7,Churned
Male,54,Yes,2,Bakersfield,93307,72,None,Yes,No,1414.65,4211.13,Stayed
Male,32,No,0,Tuolumne,95379,1,None,Yes,Yes,49.0,98.19,Joined
Female,46,No,0,Berkeley,94703,4,None,Yes,Yes,266.9,317.22,Churned
Female,32,No,0,North Fork,93643,1,None,Yes,Yes,77.15,114.85,Churned
Male,47,Yes,0,Graton,95444,64,None,Yes,Yes,4818.8,5240.56,Stayed
Female,24,No,0,Mount Laguna,91948,12,Offer D,Yes,Yes,1164.3,1530.78,Churned
Male,25,No,0,Westwood,96137,4,Offer E,Yes,Yes,340.85,477.33,Churned
Male,68,Yes,0,Chula Vista,91915,71,None,Yes,Yes,7713.55,10025.44,Stayed
Male,42,No,0,Point Arena,95468,64,None,Yes,No,1240.15,3733.59,Stayed
Male,54,Yes,0,Bakersfield,93313,33,None,Yes,Yes,2447.45,3078.08,Stayed
Female,34,No,0,Mission Viejo,92692,1,None,Yes,Yes,70.15,72.39,Churned
Female,35,Yes,0,San Francisco,94107,3,None,Yes,No,72.0,107.31,Joined
Female,19,Yes,0,Jamul,91935,70,None,Yes,Yes,7069.3,8460.9,Stayed
Female,21,Yes,0,Auburn,95602,51,Offer B,No,Yes,2553.35,2553.35,Stayed
Male,55,Yes,3,Termo,96132,4,Offer E,Yes,Yes,225.6,259.92,Churned
Male,48,Yes,2,Sun City,92587,67,None,Yes,No,1284.2,1651.36,Stayed
Female,40,Yes,3,Kernville,93238,68,None,Yes,Yes,7511.3,8470.78,Stayed
Female,49,Yes,0,Richmond,94801,62,None,Yes,No,1416.75,1969.17,Stayed
Male,71,Yes,0,Fairfield,94533,66,None,Yes,Yes,6871.9,10162.0,Churned
Male,71,Yes,0,San Jose,95126,53,None,Yes,Yes,3229.65,4478.16,Churned
Female,68,No,0,Tahoe Vista,96148,1,Offer E,Yes,Yes,69.6,115.4,Churned
Male,26,Yes,0,Orosi,93647,4,None,No,Yes,201.0,201.0,Churned
Male,34,No,0,Seal Beach,90740,64,None,Yes,Yes,5289.05,7226.33,Stayed
Female,61,Yes,0,Wasco,93280,3,None,Yes,Yes,130.15,138.13,Joined
Male,73,No,0,Artesia,90701,71,Offer A,No,Yes,3985.35,3985.35,Stayed
Male,59,No,0,Anaheim,92804,2,Offer E,Yes,No,38.8,58.02,Joined
Male,35,No,0,West Sacramento,95605,27,None,Yes,Yes,2180.55,2847.99,Churned
Male,68,No,0,Chualar,93925,9,Offer E,Yes,Yes,746.5,886.12,Churned
Female,26,Yes,2,Menlo Park,94025,36,Offer C,Yes,No,717.95,2248.31,Stayed
Male,22,No,0,Bloomington,92316,7,Offer E,Yes,Yes,669.0,753.35,Churned
Male,45,Yes,0,Fresno,93727,65,Offer B,Yes,Yes,4929.55,6332.25,Stayed
Male,25,Yes,1,Kerman,93630,33,None,Yes,No,600.25,793.63,Stayed
Male,49,No,0,Burbank,91501,54,Offer B,Yes,Yes,5760.65,6719.69,Stayed
Female,22,No,0,Newport Beach,92663,1,None,Yes,No,19.9,31.73,Joined
Female,70,No,2,Pasadena,91106,15,Offer D,Yes,Yes,1145.7,1806.75,Churned
Male,57,Yes,0,Temecula,92591,4,None,Yes,Yes,420.2,533.08,Churned
Female,65,Yes,0,Simi Valley,93065,26,Offer C,Yes,Yes,2169.75,2644.51,Churned
Female,45,Yes,3,Anza,92539,10,None,Yes,Yes,929.45,1257.05,Stayed
Male,58,Yes,0,Newport Coast,92657,67,Offer A,Yes,Yes,7482.1,9441.18,Churned
Male,71,No,0,Escondido,92027,10,Offer D,Yes,Yes,898.35,1312.05,Churned
Male,39,Yes,3,Eureka,95503,60,None,Yes,Yes,4543.95,6175.95,Stayed
Male,50,No,0,Coleville,96107,65,Offer B,Yes,No,1600.95,4582.5,Stayed
Male,43,Yes,3,Oroville,95965,72,Offer A,Yes,Yes,7559.55,8059.95,Stayed
Female,79,Yes,0,Sheep Ranch,95250,26,Offer C,Yes,Yes,2510.7,2951.69,Stayed
Female,44,Yes,0,Dunnigan,95937,8,Offer E,Yes,No,145.0,514.04,Churned
Male,32,No,0,Santa Rosa,95403,1,None,Yes,No,20.45,60.06,Joined
Female,58,Yes,0,Long Beach,90810,48,Offer B,Yes,Yes,4834.0,4845.51,Stayed
Female,32,No,0,Forest Ranch,95942,41,None,Yes,Yes,3190.65,3511.68,Stayed
Male,46,No,0,Buttonwillow,93206,1,Offer E,No,Yes,25.15,25.15,Churned
